Rank,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Wisconsin,13,1-Dec,776,3292,4.24,15,18,253.2
2,Alabama,12,1-Nov,766,3093,4.04,15,16,257.8
3,Michigan,12,4-Aug,721,3223,4.47,24,27,268.6
4,Georgia,13,1-Dec,791,3522,4.45,19,19,270.9
5,Washington,12,2-Oct,797,3329,4.18,16,19,277.4
6,Clemson,13,1-Dec,842,3613,4.29,19,19,277.9
7,UTSA,11,5-Jun,636,3166,4.98,23,24,287.8
8,Ohio St.,13,2-Nov,867,3800,4.38,28,34,292.3
9,Michigan St.,12,3-Sep,736,3573,4.85,25,29,297.8
10,Mississippi St.,12,4-Aug,691,3624,5.24,28,31,302
11,San Diego St.,12,2-Oct,713,3642,5.11,26,28,303.5
12,Virginia Tech,12,3-Sep,756,3663,4.85,20,21,305.3
13,LSU,12,3-Sep,749,3740,4.99,25,25,311.7
14,Auburn,13,3-Oct,886,4060,4.58,24,27,312.3
15,Washington St.,12,3-Sep,750,3763,5.02,31,35,313.6
16,Fresno St.,13,4-Sep,851,4147,4.87,25,27,319
17,Southern Miss.,12,4-Aug,781,3863,4.95,32,35,321.9
18,Northern Ill.,12,4-Aug,861,3936,4.57,25,28,328
19,TCU,13,3-Oct,855,4271,5,26,27,328.5
20,Penn St.,12,2-Oct,843,3952,4.69,23,23,329.3
21,Wyoming,12,5-Jul,863,3994,4.63,25,25,332.8
22,Duke,12,6-Jun,771,4025,5.22,30,32,335.4
23,Boise St.,13,3-Oct,901,4377,4.86,35,38,336.7
24,Florida St.,12,6-Jun,851,4044,4.75,32,32,337
25,Marshall,12,5-Jul,814,4052,4.98,27,28,337.7
26,Indiana,12,7-May,829,4081,4.92,36,39,340.1
,Troy,12,2-Oct,837,4081,4.88,24,26,340.1
28,South Fla.,11,2-Sep,798,3768,4.72,30,33,342.5
29,Minnesota,12,7-May,754,4160,5.52,35,36,346.7
30,Middle Tenn.,12,6-Jun,842,4183,4.97,33,35,348.6
31,Florida,11,7-Apr,670,3842,5.73,32,36,349.3
32,Utah,12,6-Jun,817,4246,5.2,30,32,353.8
33,Georgia Tech,11,6-May,706,3897,5.52,32,35,354.3
34,Iowa,12,5-Jul,844,4264,5.05,27,28,355.3
35,Army West Point,12,3-Sep,696,4266,6.13,33,34,355.5
36,UAB,12,4-Aug,828,4294,5.19,31,33,357.8
,Virginia,12,6-Jun,802,4294,5.35,36,42,357.8
38,Northwestern,12,3-Sep,865,4306,4.98,28,30,358.8
39,Appalachian St.,12,4-Aug,789,4307,5.46,28,30,358.9
40,Miami (FL),12,2-Oct,911,4317,4.74,25,26,359.8
41,Oregon,12,5-Jul,856,4318,5.04,40,42,359.8
42,Texas,12,6-Jun,848,4363,5.15,29,31,363.6
43,Eastern Mich.,12,7-May,817,4373,5.35,33,35,364.4
44,Notre Dame,12,3-Sep,876,4400,5.02,30,32,366.7
45,Miami (OH),12,7-May,814,4411,5.42,32,37,367.6
46,Iowa St.,12,5-Jul,823,4421,5.37,31,32,368.4
47,Purdue,12,6-Jun,857,4451,5.19,26,27,370.9
48,BYU,13,9-Apr,906,4847,5.35,34,37,372.8
49,Ohio,12,4-Aug,842,4478,5.32,36,38,373.2
50,Western Ky.,12,6-Jun,817,4484,5.49,35,39,373.7
51,South Carolina,12,4-Aug,846,4495,5.31,28,29,374.6
52,NC State,12,4-Aug,828,4526,5.47,33,36,377.2
53,Western Mich.,12,6-Jun,806,4542,5.64,45,47,378.5
54,Central Mich.,12,4-Aug,898,4545,5.06,37,40,378.8
55,Toledo,13,2-Nov,888,4932,5.55,43,44,379.4
56,Arkansas St.,11,4-Jul,793,4178,5.27,31,35,379.8
57,Oklahoma,13,1-Dec,884,5002,5.66,40,40,384.8
58,Navy,12,6-Jun,726,4639,6.39,41,42,386.6
59,Louisville,12,4-Aug,824,4641,5.63,38,43,386.8
60,Texas A&M,12,5-Jul,846,4664,5.51,41,44,388.7
61,Idaho,12,8-Apr,835,4685,5.61,35,36,390.4
62,Georgia St.,11,5-Jun,741,4305,5.81,35,36,391.4
63,Temple,12,6-Jun,845,4702,5.56,39,40,391.8
64,Vanderbilt,12,7-May,807,4717,5.85,46,48,393.1
65,Louisiana Tech,12,6-Jun,822,4718,5.74,37,40,393.2
66,Air Force,12,7-May,694,4727,6.81,47,49,393.9
67,Pittsburgh,12,7-May,798,4759,5.96,38,41,396.6
68,New Mexico St.,12,6-Jun,883,4770,5.4,45,48,397.5
69,New Mexico,12,9-Mar,779,4776,6.13,48,50,398
70,Boston College,12,5-Jul,872,4777,5.48,33,34,398.1
71,Buffalo,12,6-Jun,870,4778,5.49,39,39,398.2
72,Rutgers,12,8-Apr,836,4783,5.72,40,41,398.6
73,Stanford,13,4-Sep,882,5184,5.88,34,34,398.8
74,Oklahoma St.,12,3-Sep,874,4803,5.5,39,45,400.3
75,Utah St.,12,6-Jun,919,4820,5.24,35,40,401.7
76,Southern California,13,2-Nov,930,5262,5.66,40,43,404.8
77,Massachusetts,12,8-Apr,844,4859,5.76,44,47,404.9
78,Fla. Atlantic,13,3-Oct,993,5308,5.35,40,40,408.3
79,Kent St.,12,10-Feb,789,4900,6.21,50,56,408.3
80,Ga. Southern,12,10-Feb,746,4925,6.6,49,52,410.4
81,Tennessee,12,8-Apr,834,4955,5.94,44,45,412.9
82,FIU,12,4-Aug,827,4999,6.04,43,43,416.6
83,Houston,11,4-Jul,856,4593,5.37,27,29,417.5
84,South Alabama,12,8-Apr,852,5013,5.88,36,38,417.8
85,Illinois,12,10-Feb,887,5021,5.66,47,50,418.4
86,Maryland,12,8-Apr,896,5033,5.62,52,59,419.4
87,Ball St.,12,10-Feb,764,5059,6.62,56,65,421.6
88,Missouri,12,5-Jul,891,5103,5.73,44,46,425.3
89,Kentucky,12,5-Jul,816,5108,6.26,42,43,425.7
90,Rice,12,11-Jan,795,5110,6.43,50,55,425.8
,Colorado St.,12,5-Jul,827,5110,6.18,39,42,425.8
92,Old Dominion,12,7-May,885,5132,5.8,49,51,427.7
93,Cincinnati,12,8-Apr,879,5142,5.85,42,46,428.5
,UCF,12,Dec-00,882,5142,5.83,37,40,428.5
95,California,12,7-May,888,5159,5.81,39,40,429.9
96,North Texas,13,4-Sep,944,5605,5.94,52,56,431.2
97,Kansas St.,12,5-Jul,894,5184,5.8,38,38,432
98,Akron,13,6-Jul,944,5618,5.95,41,42,432.2
99,Texas Tech,12,6-Jun,916,5208,5.69,44,47,434
100,North Carolina,12,9-Mar,895,5233,5.85,43,48,436.1
,Tulane,12,7-May,783,5233,6.68,45,47,436.1
102,Nebraska,12,8-Apr,826,5234,6.34,52,58,436.2
103,Arkansas,12,8-Apr,815,5259,6.45,51,56,438.3
104,Texas St.,12,10-Feb,852,5267,6.18,42,48,438.9
105,Syracuse,12,8-Apr,832,5328,6.4,47,49,444
106,Wake Forest,12,5-Jul,975,5331,5.47,38,38,444.3
107,UTEP,12,0-12,859,5359,6.24,56,60,446.6
108,Arizona St.,12,5-Jul,852,5364,6.3,44,47,447
109,Colorado,12,7-May,884,5407,6.12,40,42,450.6
110,West Virginia,12,5-Jul,864,5430,6.28,47,47,452.5
111,Charlotte,12,11-Jan,886,5455,6.16,44,51,454.6
112,Baylor,12,11-Jan,849,5483,6.46,47,52,456.9
113,UNLV,12,7-May,878,5504,6.27,48,49,458.7
114,Hawaii,12,9-Mar,814,5505,6.76,52,55,458.8
115,Ole Miss,12,6-Jun,895,5514,6.16,47,51,459.5
116,Arizona,12,5-Jul,922,5570,6.04,52,54,464.2
117,Kansas,12,11-Jan,873,5620,6.44,62,68,468.3
118,Nevada,12,9-Mar,924,5656,6.12,48,51,471.3
119,Oregon St.,12,11-Jan,859,5677,6.61,64,67,473.1
120,Memphis,12,2-Oct,974,5715,5.87,53,53,476.3
121,SMU,12,5-Jul,875,5840,6.67,55,56,486.7
122,UCLA,12,6-Jun,938,5865,6.25,49,53,488.8
123,Louisiana,12,7-May,899,5912,6.58,60,64,492.7
124,San Jose St.,13,11-Feb,1045,6491,6.21,65,70,499.3
125,Bowling Green,12,10-Feb,920,6079,6.61,57,61,506.6
126,UConn,12,9-Mar,920,6228,6.77,60,61,519
127,Tulsa,12,10-Feb,868,6347,7.31,56,58,528.9
128,La.-Monroe,12,8-Apr,880,6385,7.26,64,67,532.1
129,East Carolina,12,9-Mar,842,6500,7.72,67,73,541.7
Reclassifying,,,,,,,,,
NR,Coastal Caro.,12,9-Mar,815,4929,6.05,48,54,410.8
NR,Liberty,11,5-Jun,763,4934,6.47,43,44,448.5
,,,,,,,,,
,,,,,,,,,
"      <script type=""text/javascript"">",,,,,,,,,
"var gaJsHost = ((""https:"" == document.location.protocol) ? ""https://ssl."" : ""http://www."");document.write(unescape(""%3Cscript src='"" + gaJsHost + ""google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E""));",,,,,,,,,
</script>,,,,,,,,,
"<script type=""text/javascript"">",,,,,,,,,
try {,,,,,,,,,
"var pageTracker = _gat._getTracker(""UA-2045383-4"");                        ",,,,,,,,,
pageTracker._trackPageview();                                              ,,,,,,,,,
} catch(err) {},,,,,,,,,
</script>,,,,,,,,,
,,,,,,,,,
      ,,,,,,,,,
